Ancestro Racial Definitivo;Año;Ciclo Vital Definitivo;Cod Mipio;Clasificación de la Desaparición;Departamento Hecho Dane;Día Definitivo;Entidad Usuario que Radica DEFINITIVO;Escolaridad ajustada;Estado Desaparición Definitivo;Estado civil;Factor de vulnerabilidad;Grupo EDAD;Localidad;Mayor Menor De Edad;Mes Definitivo;Municipio Hecho Dane;Número de registros;Sexo;Tipo aparición DEFINITIVA;Zona ocurrencia DEFINITIVO
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,001;Sin información;Antioquia;Sábado;Fiscalía General de la Nación;Educación básica secundaria o secundaria baja;Aparecio Muerto;Soltero (a);Ninguno;(18 a 19);Robledo;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Fallecimiento de la Persona;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación técnica profesional y tecnológica;Continua Desaparecido;Soltero (a);Ninguno;(30 a 34);Usaquen;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(29 a 59) Adultez;5,154;Desaparición presuntamente forzada;Antioquia;Sábado;Fiscalía General de la Nación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Sin información;(35 a 39);NA;b) Mayores de Edad (>18 años);Enero;Caucasia;1;Hombre;Sin Información;Centro Poblado - Inspeccion Corregimiento o Caserio
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin escolaridad;Aparecio Vivo;Casado (a);Ninguno;(75 a 79);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Involuntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Suba;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Usme;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;41,001;Sin información;Huila;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Neiva;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,001;Sin información;Norte de Santander;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Cúcuta;1;Hombre;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Santa fe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(10 a 14);Kennedy;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(18 a 19);Santa fe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,89;Sin información;Antioquia;Sábado;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Soltero (a);Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Yolombó;1;Hombre;Ausencia Voluntaria;Rural Disperso (Vereda)
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(10 a 14);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Casado (a);Ninguno;(45 a 49);Usaquen;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;41,001;Sin información;Huila;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Separado(a),Divorciado(a);Sin información;(70 a 74);NA;b) Mayores de Edad (>18 años);Enero;Neiva;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;15,001;Sin información;Boyacá;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación media o secundaria alta;Continua Desaparecido;Sin Información;Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Tunja;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;66,001;Sin información;Risaralda;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación media o secundaria alta;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(25 a 29);Cuba;b) Mayores de Edad (>18 años);Enero;Pereira;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;25,754;Sin información;Cundinamarca;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación inicial y educación preescolar;Continua Desaparecido;Unión Libre;Otro;(60 a 64);NA;b) Mayores de Edad (>18 años);Enero;Soacha;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;76,892;Sin información;Valle del Cauca;Sábado;Policía Nacional;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Yumbo;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(10 a 14);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;8,001;Sin información;Atlántico;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Unión Libre;Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Barranquilla;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(50 a 54);San Cristobal;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mulato;01/01/2017 12:00:00 AM;(29 a 59) Adultez;5,001;Sin información;Antioquia;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación inicial y educación preescolar;Aparecio Vivo;Soltero (a);Ninguno;(55 a 59);Aranjuez;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,001;Sin información;Antioquia;Domingo;Fiscalía General de la Nación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Separado(a),Divorciado(a);Sin información;(25 a 29);Aranjuez;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Casado (a);Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Unión Libre;Herido y/o enfermo bajo protección sanitaria o médica;(25 a 29);Kennedy;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mulato;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,088;Sin información;Antioquia;Domingo;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Unión Libre;Ninguno;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Bello;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(29 a 59) Adultez;5,001;Sin información;Antioquia;Domingo;Fiscalía General de la Nación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Sin información;(35 a 39);NA;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Sin Información;Centro Poblado - Inspeccion Corregimiento o Caserio
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(35 a 39);Santa fe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Unión Libre;Ninguno;(18 a 19);Chapinero;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);Fontibon;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;50,001;Sin información;Meta;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Villavicencio;1;Hombre;Sin Información;Centro Poblado - Inspeccion Corregimiento o Caserio
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Casado (a);Otro;(55 a 59);Bosa;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Manizales;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Muerto;Casado (a);Ninguno;(60 a 64);Usme;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Fallecimiento de la Persona;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(20 a 24);Teusaquillo;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(10 a 14);Suba;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;8,001;Sin información;Atlántico;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación técnica profesional y tecnológica;Continua Desaparecido;Casado (a);Ninguno;(40 a 44);NA;b) Mayores de Edad (>18 años);Enero;Barranquilla;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Otro;(50 a 54);Fontibon;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Unión Libre;Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(30 a 34);Ciudad Bolivar;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Bosa;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(29 a 59) Adultez;41,551;Sin información;Huila;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Campesinos (as) y/o trabajadores (as) del campo;(55 a 59);NA;b) Mayores de Edad (>18 años);Enero;Pitalito;1;Hombre;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(25 a 29);Ciudad Bolivar;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Unión Libre;Ninguno;(40 a 44);Santa fe;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Bosa;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Hombre;Sin Información;Rural Disperso (Vereda)
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Casado (a);Otro;(40 a 44);Usaquen;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,4;Sin información;Risaralda;Lunes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Sin Información;Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);NA;a) Menores de Edad (<18 años);Enero;La Virginia;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;76,233;Sin información;Valle del Cauca;Lunes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Aparecio Vivo;Unión Libre;Sin información;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Dagua;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(18 a 28) Juventud;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Aparecio Vivo;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Separado(a),Divorciado(a);Habitante de la calle;(70 a 74);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;5,667;Sin información;Antioquia;Lunes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;San Rafael;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(35 a 39);NA;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Lunes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Enero;Manizales;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;5,001;Sin información;Antioquia;Lunes;Fiscalía General de la Nación;Educación inicial y educación preescolar;Continua Desaparecido;Casado (a);Ninguno;(80 y más);El Poblado;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(29 a 59) Adultez;76,001;Sin información;Valle del Cauca;Lunes;Policía Nacional;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Santiago de Cali;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(29 a 59) Adultez;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Unión Libre;Ninguno;(30 a 34);Chapinero;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;63,001;Sin información;Quindio;Lunes;Fiscalía - Cuerpo Técnico Investigación;Educación media o secundaria alta;Aparecio Vivo;Soltero (a);Ninguno;(18 a 19);Comuna 10;b) Mayores de Edad (>18 años);Enero;Armenia;1;Mujer;Ausencia Voluntaria;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Enero;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Indigena;01/01/2017 12:00:00 AM;(18 a 28) Juventud;76,248;Sin información;Valle del Cauca;Lunes;Fiscalía - UNDDHH y DIH;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(18 a 19);NA;b) Mayores de Edad (>18 años);Enero;El Cerrito;1;Hombre;Sin Información;Rural Disperso (Vereda)
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,001;Sin información;Valle del Cauca;Lunes;Policía Nacional;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Enero;Santiago de Cali;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin escolaridad;Continua Desaparecido;Soltero (a);Ninguno;(70 a 74);Suba;b) Mayores de Edad (>18 años);Enero;Bogotá D.C.;1;Hombre;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;47,001;Sin información;Magdalena;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Ninguno;(20 a 24);NA;b) Mayores de Edad (>18 años);Enero;Santa Marta;1;Hombre;Involuntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(18 a 28) Juventud;5,001;Sin información;Antioquia;Lunes;Fiscalía General de la Nación;Educación básica secundaria o secundaria baja;Aparecio Vivo;Soltero (a);Sin información;(25 a 29);NA;b) Mayores de Edad (>18 años);Enero;Medellín;1;Hombre;Ausencia Voluntaria;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(Más de 60) Adulto Mayor;25,535;Sin información;Cundinamarca;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(65 a 69);NA;b) Mayores de Edad (>18 años);Enero;Pasca;1;Hombre;Sin Información;Rural Disperso (Vereda)
